,Player,Team,Position,Age,Matches played,Minutes played,Birth country,Passport country,Successful defensive actions per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,Assists per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Key passes per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90
56,E. Rombing,Eskilstuna United,"RB, RCB",23.0,18,1266,Sweden,Sweden,10.31,70.43,1.85,46.15,0.0,0.21,5.27,0.5,0.07,47.91,78.19,19.48,68.61,5.97,40.38,5.55,20.8,0.07,0.57,0.5,56.07,3.06,48.84,1.42,0.78,0.85,11.94
57,J. Harrysson,Kristianstad,"LCB, LB",21.0,21,1254,Sweden,Sweden,11.41,64.12,2.44,38.24,0.19,0.43,7.04,0.72,0.22,46.36,77.24,21.39,65.44,4.52,38.54,6.53,20.13,0.16,0.86,0.5,56.12,1.79,52.0,0.72,0.72,0.65,11.84
58,G. Viggosdottir,Bayern München,LCB,26.0,13,1227,Iceland,Iceland,7.41,77.59,2.71,64.86,0.1,0.37,5.46,0.29,0.15,84.72,90.65,27.58,78.72,1.91,75.26,9.32,23.33,0.0,0.07,0.07,68.56,1.47,25.0,1.47,0.15,0.15,12.84
59,R. Aronsson,Linköping,"RB, RCB, RWB",23.0,16,1214,Sweden,Sweden,11.27,68.07,0.96,23.08,0.09,0.15,6.0,0.37,0.0,44.04,77.95,15.72,64.62,6.67,39.74,2.74,16.02,0.03,0.37,0.07,56.58,2.67,30.56,0.82,0.3,0.3,8.38
60,A. Sandberg,KIF Örebro,"LB, LWB",,17,1141,Sweden,Sweden,13.8,56.6,1.1,57.14,0.0,0.16,7.48,0.39,0.32,37.7,75.73,13.41,62.94,9.15,32.73,2.84,18.94,0.11,0.95,0.24,58.14,1.74,50.0,0.47,0.16,0.87,7.57
61,K. Törnkvist,Kristianstad,"RCB, RB",20.0,15,1125,Sweden,Sweden,12.8,66.14,0.56,14.29,0.83,0.48,7.03,0.32,0.0,39.28,83.91,14.4,72.22,4.64,35.68,3.12,16.64,0.02,0.16,0.08,68.42,1.04,53.85,0.32,0.32,0.24,6.08
62,E. Finndell,AIK,"RCB, CB",23.0,13,1082,Sweden,Sweden,12.64,73.0,1.41,52.94,0.81,0.67,5.58,0.58,0.0,37.43,77.78,15.97,59.38,1.58,30.44,6.9,21.69,0.0,0.0,0.0,43.18,0.25,33.33,0.58,0.0,0.0,7.57
63,A. Nildén,Juventus,"LW, LWB",23.0,13,1061,Sweden,Sweden,8.91,57.89,1.78,61.9,0.18,0.08,4.22,0.25,0.34,36.56,68.45,12.72,56.67,8.31,30.54,2.63,17.8,0.15,1.02,1.02,56.94,3.9,43.48,1.19,0.93,1.02,7.72
64,J. Pedersen,Hammarby,"LB, LWB",36.0,17,992,Norway,Norway,11.52,63.95,1.72,57.89,1.45,0.09,7.26,0.91,0.0,41.28,64.62,19.23,52.36,6.44,29.12,7.98,23.54,0.15,1.54,0.45,50.0,5.9,35.38,1.45,0.91,1.54,11.79
65,E. Landström,Inter Women,"LB, LWB",29.0,11,946,Sweden,Sweden,10.94,65.52,1.43,40.0,0.22,0.29,6.09,1.24,0.19,47.09,74.14,17.03,60.89,5.8,39.1,5.52,18.37,0.23,1.71,0.48,56.0,3.14,48.48,0.95,0.48,1.33,12.27
